UnitName,ParentTract,ParentCommunity,ParentCounty,ParentState,PopInitial_bg,PopFinal_bg,PopG_bg,RelPopG_bg,AvgG_emp_bg,RelAvgG_emp_bg,RelAvgG_pop_bg,RelAvgG_inc_bg
170313602001,17031360200,OAKLAND_031,031,17,592.0,413.0,-0.07201180838459446,0.0,,,,
170314701001,17031470100,BURNSIDE_031,031,17,63.0,125.0,0.13703580218215378,0.1386033547433836,,,,
170314701002,17031470100,BURNSIDE_031,031,17,388.0,344.0,-0.024072736449975096,-0.022505183888745273,,,,
170318364001,17031836400,OAKLAND_031,031,17,383.0,297.0,-0.050860570075589175,0.008551414183455314,,,,
170318364002,17031836400,OAKLAND_031,031,17,653.0,469.0,-0.06619487216603037,-0.0067828879069858836,,,,
170318364003,17031836400,OAKLAND_031,031,17,297.0,225.0,-0.05552634731965593,0.003885636939388558,,,,
170318365001,17031836500,OAKLAND_031,031,17,244.0,226.0,-0.015326645204183188,-0.016301441777968995,,,,
170318365002,17031836500,OAKLAND_031,031,17,187.0,209.0,0.02224512702204482,0.021270330448259014,,,,
