UnitName,ParentTract,ParentCommunity,ParentCounty,ParentState,PopInitial_tr,PopFinal_tr,LogAvgIncInitial_tr,LogAvgIncFinal_tr,PopG_tr,RelPopG_tr,AvgG_emp_tr,RelAvgG_emp_tr,AvgG_pop_tr,RelAvgG_pop_tr,LHS_AvgG_pop_tr,AvgG_inc_tr,RelAvgG_inc_tr,Sel_tr_from_bg_pop,Sel_tr_from_bg_inc,Transmitted_AggG_pop_bg_to_tr,Transmitted_AggG_inc_bg_to_tr,Transmitted_AvgG_bg_to_tr_pop,Transmitted_AvgG_bg_to_tr_inc,Cumulative_Sel_pop_tr,Cumulative_Sel_inc_tr,Sel_tr_from_bg_inc_LDR,Sel_tr_from_bg_pop_LDR,Transmitted_AvgG_bg_to_tr_inc_LDR,Transmitted_AvgG_bg_to_tr_pop_LDR,Cumulative_Sel_inc_tr_PNC,Cumulative_Sel_inc_tr_PNC_cm,Cumulative_Sel_inc_tr_PNC_ct,Cumulative_Sel_inc_tr_PNC_st,Cumulative_Sel_pop_tr_PNC,Cumulative_Sel_pop_tr_PNC_cm,Cumulative_Sel_pop_tr_PNC_ct,Cumulative_Sel_pop_tr_PNC_st,Sel_tr_from_bg_inc_PNC,Sel_tr_from_bg_inc_PNC_cm,Sel_tr_from_bg_inc_PNC_ct,Sel_tr_from_bg_inc_PNC_st,Sel_tr_from_bg_pop_PNC,Sel_tr_from_bg_pop_PNC_cm,Sel_tr_from_bg_pop_PNC_ct,Sel_tr_from_bg_pop_PNC_st,Transmitted_AggG_inc_bg_to_tr_PNC,Transmitted_AggG_inc_bg_to_tr_PNC_cm,Transmitted_AggG_inc_bg_to_tr_PNC_ct,Transmitted_AggG_inc_bg_to_tr_PNC_st,Transmitted_AggG_pop_bg_to_tr_PNC,Transmitted_AggG_pop_bg_to_tr_PNC_cm,Transmitted_AggG_pop_bg_to_tr_PNC_ct,Transmitted_AggG_pop_bg_to_tr_PNC_st,Transmitted_AvgG_bg_to_tr_inc_PNC,Transmitted_AvgG_bg_to_tr_inc_PNC_cm,Transmitted_AvgG_bg_to_tr_inc_PNC_ct,Transmitted_AvgG_bg_to_tr_inc_PNC_st,Transmitted_AvgG_bg_to_tr_pop_PNC,Transmitted_AvgG_bg_to_tr_pop_PNC_cm,Transmitted_AvgG_bg_to_tr_pop_PNC_ct,Transmitted_AvgG_bg_to_tr_pop_PNC_st
17031010100,,ROGERS PARK_031,031,17,4029.0,4040.0,10.735524895838603,11.041326504454059,0.000545297152769919,0.0007729055856309073,0.06116032172309112,0.019150405260309526,0.05018773725614496,0.04494604644754286,0.05018773725614487,0.058163847083908586,0.04073042897222672,-0.000450072262711479,-0.011404142864495438,,,0.050637809518856436,0.06956798994840403,-0.000450072262711479,-0.011404142864495438,14.084034183521805,0.8809765584641275,85.91596581647819,99.11902344153587,-19.606926701467223,-29.905445090170474,,316.8741597088461,-0.8967773550228595,-1.2308724754103133,,1.386345423193523e+16,-19.606926701467223,-29.905445090170474,,316.8741597088461,-0.8967773550228595,-1.2308724754103133,,1.386345423193523e+16,,,,,,,,,119.60692670146724,182.43034379309978,,-1933.007909447064,100.89677735502285,138.48595240312963,,-1.559782756752887e+18
17031010201,,ROGERS PARK_031,031,17,6915.0,6881.0,11.044609492536706,11.20388134621077,-0.000985794979275667,-0.0007581865464146787,0.031854370734812676,-0.010155545727968916,0.03129293118233389,0.026051240373731785,0.031292931182333915,0.031333541727892066,0.013900123616210201,3.2706694663592614e-05,-0.001679479320314197,,,0.031260224487670296,0.03301302104820627,3.2706694663592614e-05,-0.001679479320314197,4.841044325067257,0.10451783654596362,95.15895567493274,99.89548216345405,-5.360004735178663,-4.40415182364126,,46.66581300290392,0.10451783654596362,0.08944734781150679,,-1007455473516412.9,-5.360004735178663,-4.40415182364126,,46.66581300290392,0.10451783654596362,0.08944734781150679,,-1007455473516412.9,,,,,,,,,105.36000473517868,86.57109087009452,,-917.2958834695941,99.89548216345405,85.49149344421369,,-9.629002437385372e+17
17031010202,,ROGERS PARK_031,031,17,2171.0,2132.0,10.667288285383423,11.018459965741767,-0.003625476918511339,-0.0033978684856503507,0.07023433607166893,0.028224419608887337,0.04994337611537137,0.04470168530676927,0.049943376115371405,0.07014977264273507,0.05271635453105321,0.0005791328967056723,-0.00014104849047565823,,,0.0493642432186657,0.07029082113321072,0.0005791328967056723,-0.00014104849047565823,0.2002623119750655,1.159578990751146,99.79973768802492,98.84042100924886,-0.20106763737354127,-0.3698759246609855,,3.919156610780747,1.159578990751146,1.583831755960986,,-1.7838874049508024e+16,-0.20106763737354127,-0.3698759246609855,,3.919156610780747,1.159578990751146,1.583831755960986,,-1.7838874049508024e+16,,,,,,,,,100.20106763737353,184.32584690662165,,-1953.0924109320515,98.84042100924886,135.0029612606165,,-1.520553438314866e+18
17031010300,,ROGERS PARK_031,031,17,5288.0,5237.0,11.081640560922219,11.238125498968001,-0.0019382574504071214,-0.0017106490175461332,0.031296987609156446,-0.010712928853625146,0.031193500272200126,0.025951809463598024,0.03119350027219987,0.02801277056881447,0.010579352457132606,-0.0002098804025725846,-0.012134713513614689,,,0.03140338067477271,0.04014748408242916,-0.0002098804025725846,-0.012134713513614689,23.21002955417642,0.6638998806832654,76.78997044582358,99.33610011931674,-43.31850533600484,-31.82124364612732,,337.17370903037687,-0.6728337658202198,-0.5739878505248786,,6464889299588817.0,-43.31850533600484,-31.82124364612732,,337.17370903037687,-0.6728337658202198,-0.5739878505248786,,6464889299588817.0,,,,,,,,,143.31850533600482,105.2800192878589,,-1115.5332263199307,100.67283376582022,85.88300170852547,,-9.673098450677908e+17
17031010400,,ROGERS PARK_031,031,17,3326.0,3350.0,11.035922048514893,11.18464939853809,0.0014379930132477625,0.0016656014461087507,0.02974547000463943,-0.012264446458142161,0.026464168074962224,0.02122247726636012,0.026464168074962303,0.029944471521856243,0.012511053410174378,-0.0008170367027533655,-0.0015449001464832271,,,0.02728120477771559,0.03148937166833947,-0.0008170367027533655,-0.0015449001464832271,4.676658699012157,2.907785895858595,95.32334130098783,97.0922141041414,-5.159216603157001,-4.051240592950479,,42.92641205636149,-3.087331898886951,-2.2344589350172943,,2.5166960670255184e+16,-5.159216603157001,-4.051240592950479,,42.92641205636149,-3.087331898886951,-2.2344589350172943,,2.5166960670255184e+16,,,,,,,,,105.15921660315699,82.57557683561694,,-874.9599426915006,103.08733189888694,74.60953904295336,,-8.403355753348596e+17
17031010501,,ROGERS PARK_031,031,17,3793.0,3718.0,10.675926788986054,11.042200758166652,-0.003994274681502219,-0.003766666248641231,0.0732547938361197,0.031244877373338108,0.06096049242238582,0.05571880161378372,0.06096049242238592,0.0723570542310053,0.05492363611932344,0.0004937768557582706,-0.0028827207112899406,,,0.060466715566627555,0.07523977494229525,0.0004937768557582706,-0.0028827207112899406,3.6900007957664975,0.8099948608304656,96.3099992042335,99.19000513916953,-3.9840216574967786,-7.55944983907326,,80.09893544118644,0.8099948608304658,1.3503972386254819,,-1.520967499608386e+16,-3.9840216574967786,-7.55944983907326,,80.09893544118644,0.8099948608304658,1.3503972386254819,,-1.520967499608386e+16,,,,,,,,,103.98402165749678,197.30364525147914,,-2090.6034539209836,99.19000513916954,165.36636899381165,,-1.8625398925122575e+18
17031010502,,ROGERS PARK_031,031,17,3669.0,3697.0,10.814928713756952,11.075189739234135,0.0015205069162700369,0.001748115349131025,0.05205220509543658,0.010042288632654987,0.04819102666635497,0.04294933585775287,0.04819102666635473,0.051910941828025046,0.03447752371634318,-5.629043151952281e-05,-0.00030887560839293885,,,0.0482473170978745,0.05221981743641799,-5.629043151952281e-05,-0.00030887560839293885,0.5880131229030289,0.11653463250186562,99.41198687709696,99.88346536749813,-0.5950106037686776,-0.8099742923464958,,8.582380984438979,-0.11680687342322697,-0.1539449295740451,,1733898944061467.5,-0.5950106037686776,-0.8099742923464958,,8.582380984438979,-0.11680687342322697,-0.1539449295740451,,1733898944061467.5,,,,,,,,,100.59501060376867,136.93768146534163,,-1450.9736476408482,100.11680687342323,131.94835484949,,-1.486149064975449e+18
17031010503,,ROGERS PARK_031,031,17,2122.0,2202.0,10.776267515004522,11.086534483156953,0.00740139962173938,0.007629008054600368,0.0620533936304863,0.02004347716770471,0.07180312031363409,0.06656142950503198,0.07180312031363414,0.061731284001459434,0.04429786588977757,-0.00013477831392779815,-0.001028363685186842,,,0.07193789862756189,0.06275964768664627,-0.00013477831392779815,-0.001028363685186842,1.6121582458376131,0.18700334113746653,98.38784175416238,99.81299665886253,-1.665871205858167,-2.6967106678245845,,28.57399126708417,-0.18770537177087862,-0.3685961803033504,,4151539966801363.5,-1.665871205858167,-2.6967106678245845,,28.57399126708417,-0.18770537177087862,-0.3685961803033504,,4151539966801363.5,,,,,,,,,101.66587120585815,164.5766122077149,,-1743.8321196626937,100.18770537177089,196.73813895144735,,-2.215883643120948e+18
17031010600,,ROGERS PARK_031,031,17,6307.0,6370.0,11.104896425898104,11.248865886719042,0.001987868380511415,0.0022154768133724034,0.02879389216418744,-0.013216024298594153,0.02497372885889194,0.01973203805028984,0.024973728858891774,0.026086035212225075,0.00865261710054321,0.00036293661486836115,-0.010539664082324087,,,0.02461079224402358,0.03662569929454916,0.00036293661486836115,-0.010539664082324087,22.346195020501074,1.4532736257330547,77.65380497949891,98.54672637426694,-40.403472572883494,-27.63849499501428,,292.8538549001872,1.4532736257330547,0.9925710304134799,,-1.1179438428416396e+16,-40.403472572883494,-27.63849499501428,,292.8538549001872,1.4532736257330547,0.9925710304134799,,-1.1179438428416396e+16,,,,,,,,,140.4034725728835,96.04473147668656,,-1017.6773323176553,98.54672637426694,67.30640672835587,,-7.580795800015992e+17
17031010701,,ROGERS PARK_031,031,17,3925.0,3968.0,11.191666848421818,11.289238356177188,0.002179167637650892,0.00240677607051188,0.019514301551074097,-0.022495614911707495,0.009525860371292608,0.004284169562690505,0.009525860371292794,0.01961899523362252,0.0021855771219406565,-5.361344379756366e-05,1.7857211870178776e-05,,,0.009579473815090172,0.01960113802175234,-5.361344379756366e-05,1.7857211870178776e-05,0.09102001227654899,0.556555155753401,99.90897998772346,99.4434448442466,0.09102001227654898,0.04682753236192461,,-0.49617836897872675,-0.5628199627944852,-0.1466238152176086,,1651440414981606.8,0.09102001227654898,0.04682753236192461,,-0.49617836897872675,-0.5628199627944852,-0.1466238152176086,,1651440414981606.8,,,,,,,,,99.90897998772344,51.400685152702366,,-544.634893983739,100.56281996279448,26.19826109005759,,-2.9507394212973216e+17
