UnitName,ParentTract,ParentCommunity,ParentCounty,ParentState,PopInitial_cm,PopFinal_cm,LogAvgIncInitial_cm,LogAvgIncFinal_cm,PopG_cm,RelPopG_cm,AvgG_emp_cm,RelAvgG_emp_cm,AvgG_pop_cm,RelAvgG_pop_cm,LHS_AvgG_pop_cm,AvgG_inc_cm,RelAvgG_inc_cm,Sel_cm_from_tr_pop,Sel_cm_from_tr_inc,Transmitted_AggG_pop_tr_to_cm,Transmitted_AggG_inc_tr_to_cm,Transmitted_AvgG_bg_to_cm_pop,Transmitted_Sel_tr_to_cm_pop,Transmitted_AvgG_bg_to_cm_inc,Transmitted_Sel_tr_to_cm_inc,Cumulative_Sel_pop_cm,Cumulative_Sel_inc_cm,Sel_cm_from_tr_inc_LDR,Sel_cm_from_tr_pop_LDR,Transmitted_AvgG_bg_to_cm_inc_LDR,Transmitted_AvgG_bg_to_cm_pop_LDR,Transmitted_Sel_tr_to_cm_inc_LDR,Transmitted_Sel_tr_to_cm_pop_LDR,Cumulative_Sel_inc_cm_PNC,Cumulative_Sel_inc_cm_PNC_ct,Cumulative_Sel_inc_cm_PNC_st,Cumulative_Sel_pop_cm_PNC,Cumulative_Sel_pop_cm_PNC_ct,Cumulative_Sel_pop_cm_PNC_st,Sel_cm_from_tr_inc_PNC,Sel_cm_from_tr_inc_PNC_ct,Sel_cm_from_tr_inc_PNC_st,Sel_cm_from_tr_pop_PNC,Sel_cm_from_tr_pop_PNC_ct,Sel_cm_from_tr_pop_PNC_st,Transmitted_AggG_inc_tr_to_cm_PNC,Transmitted_AggG_inc_tr_to_cm_PNC_ct,Transmitted_AggG_inc_tr_to_cm_PNC_st,Transmitted_AggG_pop_tr_to_cm_PNC,Transmitted_AggG_pop_tr_to_cm_PNC_ct,Transmitted_AggG_pop_tr_to_cm_PNC_st,Transmitted_AvgG_bg_to_cm_inc_PNC,Transmitted_AvgG_bg_to_cm_inc_PNC_ct,Transmitted_AvgG_bg_to_cm_inc_PNC_st,Transmitted_AvgG_bg_to_cm_pop_PNC,Transmitted_AvgG_bg_to_cm_pop_PNC_ct,Transmitted_AvgG_bg_to_cm_pop_PNC_st,Transmitted_Sel_tr_to_cm_inc_PNC,Transmitted_Sel_tr_to_cm_inc_PNC_ct,Transmitted_Sel_tr_to_cm_inc_PNC_st,Transmitted_Sel_tr_to_cm_pop_PNC,Transmitted_Sel_tr_to_cm_pop_PNC_ct,Transmitted_Sel_tr_to_cm_pop_PNC_st
ADDISON_043,,,17043,17,39902.0,39915.0,11.258895440752443,11.329027318397811,6.514902897833963e-05,9.366924280732965e-05,0.014026375529073576,0.02725164992556321,0.007675244736873415,0.010340270176360264,0.007675244736873666,0.011631244046221087,0.004348512780681011,-3.960329172878576e-05,-0.006069138488546321,0.007714848028602201,0.017700382534767408,0.007905627519060432,-0.00019077949045822972,0.023484219764236598,-0.005783837229469189,-0.00023038278218701547,-0.01185297571801551,17.174929718445,0.4867655062176312,66.45750870646032,97.16835680319022,16.36756157509468,2.3448776905921394,-101.90634527926066,66.5456382360548,329.34537609036664,-3.00163434633179,1.045915417373803,7096418556064312.0,-52.17961607914283,34.073696249074814,168.63636150175668,-0.5159873474590798,0.17979509147634556,1219889488430803.8,152.17961607914282,-99.37447615016478,-491.82072768409773,100.51598734745907,-35.02465947850556,-2.3763837812734976e+17,201.9063452792607,-131.84641813714478,-652.5297422727077,103.0016343463318,-35.890779804403024,-2.435149071949833e+17,-49.726729200117845,32.47194198697999,160.70901458861,-2.485646998872711,0.8661203258974576,5876529067633509.0
ALBANY PARK_031,,,17031,17,51195.0,51457.0,11.231004025061448,11.311175671016288,0.0010209272840967288,0.0010490400242923414,0.016034329190967967,-0.004232933360894125,0.013819153350708982,0.01648417879019583,0.013819153350709,0.01422880757157693,0.006946076306036854,9.192792028510374e-05,-0.00431933535782674,0.013727225430423878,0.018548142929403672,0.013745973511639926,-1.874808121604913e-05,0.02298846428900558,-0.004440321359601907,7.317983906905462e-05,-0.008759656717428647,13.605011008214825,0.663420982091833,72.4088971575566,99.20127876947316,13.986091834228583,0.13530024843501468,-61.56283071061199,-162.6264496554744,243.39478158545145,0.5295537086235473,0.6469708027749673,-2254138798783498.0,-30.356270798509666,-80.19014862958215,120.01653945192065,0.6652210736223392,0.8127194749385107,-2831630875965602.0,130.35627079850968,344.35352087594873,-515.3764973615492,99.33477892637767,121.3601200764299,-4.228360137983795e+17,161.56283071061202,426.78982190184104,-638.75473949508,99.47044629137645,121.52586874859341,-4.234135058755616e+17,-31.20655991210233,-82.43630102589226,123.37824213353076,-0.13566736499879187,-0.1657486721635433,577492077182104.1
ALGONQUIN_089,,,17089,17,7387.0,7427.0,11.920610479897572,11.765846100776255,0.0010800620281116835,0.0005476504656888784,-0.030952875824263516,-0.032561874138588784,-0.04107664958932956,-0.038411624149842706,-0.04107664958932986,-0.03090225517900586,-0.03818498644454593,0.0,0.0,-0.04107664958932956,-0.03090225517900586,-0.041207095142942754,0.00013044555361319134,-0.03055895233393246,-0.00034330284507340375,0.00013044555361319134,-0.00034330284507340375,0.0,0.0,98.88906863565532,99.68443804005965,1.110931364344678,0.315561959940349,1.110931364344678,4.670195709090522,9.53897209556783,-0.3175661961658067,-1.3820053371950909,-4018079122185833.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,100.0,420.38562047848933,858.6463936225915,100.0,435.1865387062552,1.265272932289029e+18,98.88906863565533,415.71542476939885,849.1074215270238,100.31756619616583,436.5685440434503,1.269291011411215e+18,1.110931364344678,4.670195709090522,9.53897209556783,-0.3175661961658067,-1.3820053371950909,-4018079122185833.5
ALGONQUIN_111,,,17111,17,25174.0,24852.0,11.738283135965725,11.628363890340891,-0.0025746967335734893,-0.00234042086199196,-0.02198384912496678,-0.016404405694730374,-0.0373668310318651,-0.034701805592378246,-0.03736683103186493,-0.022224125854007164,-0.02950685711954724,-0.0001676423798780917,-0.0023248473419269287,-0.03719918865198701,-0.019899278512080235,-0.03701614268254874,-0.00018304596943825822,-0.01881845016444843,-0.0010808283476318034,-0.0003506883493163499,-0.003405675689558732,10.46091692064344,0.44863954274081286,84.67577212291269,99.06149828703083,4.863310956443861,0.48986217022835893,15.324227877087301,36.01463313084866,94.6297003810391,0.9385017129691716,2.076822216624031,1.080215841591816e+16,10.46091692064344,24.584996264155606,64.59793223197521,0.4486395427408128,0.9928000735047916,5163842905516932.0,89.53908307935656,210.43260736139166,552.9189902521186,99.5513604572592,220.2984546918716,1.145836551301861e+18,84.67577212291269,199.00297049469862,522.8872221030548,99.06149828703082,219.2144325487523,1.1401982357914595e+18,4.863310956443861,11.429636866693048,30.031768149063886,0.4898621702283589,1.0840221431192394,5638315510401227.0
ALSIP_031,,,17031,17,15486.0,15307.0,11.087174127565984,11.224955901010535,-0.002325229970992382,-0.0022971172307967693,0.027556354688910288,0.007289092137048196,0.010882519596784617,0.013547545036271466,0.010882519596784235,0.0270400286654994,0.019757297399959323,0.00011136649688697218,-0.0011076999769437325,0.010771153099897644,0.02814772864244313,0.0111071183280061,-0.0003359652281084563,0.02987808516365777,-0.0017303565212146385,-0.00022459873122148414,-0.0028380564981583707,3.3857903795439235,0.9638407399410777,91.32521026624988,96.12848969060865,5.288999354206191,2.907669569450272,-10.495759946362302,-52.68962781370592,78.85790091774273,-2.063848626450852,-1.9856400791409927,6918253997882623.0,-4.096519240591842,-20.56488288809218,30.778420050868334,1.0233521373108934,0.9845727021237504,-3430392095842698.5,104.09651924059185,522.5735805238215,-782.1094463008911,98.9766478626891,95.22597557610183,-3.317809169709354e+17,110.4957599463623,554.6983254494353,-830.1889271677655,102.06384862645086,98.19618835736657,-3.421295630646608e+17,-6.399240705770461,-32.12474492561374,48.079480866874405,-3.0872007637617456,-2.9702127812647428,1.034864609372532e+16
ANTIOCH_097,,,17097,17,19972.0,20053.0,11.471135762819905,11.4551876829159,0.0008094951713069065,0.000962946415428936,-0.0031896159808010084,0.004974817462748129,-0.01077978981257765,-0.008114764373090801,-0.010779789812577434,-0.003416790121909054,-0.01069952138744913,-0.00035786672200542325,-0.0010517171185040414,-0.010421923090572228,-0.002365073003405013,-0.01039371531355442,-2.820777701781056e-05,-0.001609455349750975,-0.0007556176536540372,-0.0003860744990232338,-0.0018073347721580786,30.780852232048083,3.319793133516121,47.104308205261624,96.41853407408028,22.114839562690292,0.2616727924035983,52.895691794738376,8.989935725087705,50.218389408567646,3.5814659259197197,1.946178825831444,1.189214841874639e+16,30.780852232048083,5.231387921030277,29.222886992666748,3.319793133516122,1.803985082150554,1.102327188919731e+16,69.21914776795192,11.764203629172211,65.71563768612943,96.68020686648389,52.53630088138729,3.21023679407498e+17,47.10430820526162,8.00565582511478,44.7201352702285,96.41853407408031,52.39410713770641,3.201548028779489e+17,22.11483956269029,3.758547804057427,20.995502415900898,0.26167279240359836,0.14219374368089008,868876529549078.8
ARCHER HEIGHTS_031,,,17031,17,13918.0,13851.0,10.929594300007288,11.154640264590904,-0.0009651068459394452,-0.0009369941057438327,0.04500919291672325,0.024741930364861157,0.023994467085113616,0.026659492524600464,0.023994467085113415,0.04470148845095445,0.037418757185414375,7.913403737865054e-05,-0.00023827525357675213,0.023915333047734966,0.044939763704531205,0.02410492517357125,-0.00018959212583629037,0.04596968067880072,-0.0010299169742695215,-0.00011045808845763983,-0.0012681922278462735,0.5044157133146943,0.3246704249814908,97.31530623668743,98.89747268678877,2.1802780499978835,0.7778568882297354,-2.837024608783906,-23.54448423588991,35.23783868046598,-0.4603481630403412,-0.9765416140775178,3402410636580841.5,-0.5330365091493157,-4.4236731849144775,6.62068790734025,0.32980118749020276,0.6996108810977085,-2437544359605329.0,100.53303650914931,834.3242726718636,-1248.690938950059,99.6701988125098,211.43148737896894,-7.366575383946798e+17,102.8370246087839,853.445083722839,-1277.3080897231848,100.46034816304032,213.1076398741441,-7.424974933908658e+17,-2.3039880996345907,-19.120811050975433,28.617150773125726,-0.7901493505305439,-1.6761524951752265,5839954996186170.0
ARLINGTON HEIGHTS_031,,,17031,17,85856.0,85769.0,11.633907193487994,11.564460382160114,-0.00020276767942206675,-0.00017465493922645423,-0.01388936226557611,-0.034156624817438204,-0.018903620687402797,-0.01623859524791595,-0.018903620687403234,-0.01504288178078867,-0.022325613046328747,-7.07351585872594e-05,-0.004114992040266059,-0.018832885528815537,-0.01092788974052261,-0.018858703424141046,2.5817895325508435e-05,-0.007897934786668687,-0.0030299549538539226,-4.491726326175097e-05,-0.007144946994119982,27.355077971305562,0.3731690925372378,52.502804328058836,99.49062649706399,20.142117700635602,0.13620441039877304,47.497195671941164,-132.64873272013028,198.5286489153593,0.23761195807152136,-0.397106064191909,1383574316936435.2,27.35507797130556,-76.39643509516985,114.33868029025156,0.37418841478551607,-0.6253577886722326,2178835966818490.5,72.64492202869442,-202.88054293175009,303.64104694791786,99.62581158521448,-166.4984130075685,5.80104281501528e+17,52.50280432805883,-146.62824530678964,219.45107832281016,99.76238804192847,-166.72666473204885,5.8089954315141e+17,20.142117700635602,-56.252297624960434,84.18996862510774,-0.1365764567139947,0.22825172448032355,-795261649882055.5
ARMOUR SQUARE_031,,,17031,17,13793.0,13885.0,10.650008666136575,11.025424306219715,0.0013295807330759857,0.0013576934732715982,0.07508312801662811,0.05481586546476602,0.06788573351982263,0.07055075895930948,0.06788573351982308,0.06981310401647109,0.06253037275093101,8.089184229507518e-05,-0.008936557419935997,0.06780484167752755,0.07874966143640708,0.06799277018812186,-0.00018792851059429075,0.08948128059740004,-0.010731619160992972,-0.00010703666829921556,-0.019668176580928967,8.187450172413957,0.11850272115542893,81.98050902919746,99.60619090361237,9.832040798388572,0.2753063752321801,-28.172614379513377,-365.1473832518346,546.4976194300608,-0.15767181519510406,-0.9462934067203327,3297021556416747.0,-12.800687701591931,-165.9106803186567,248.3101235032941,0.11915882483829207,0.7151513424101186,-2491689549226014.0,112.80068770159191,1462.0182347434359,-2188.128743345207,99.8808411751617,599.4513435694315,-2.088574207254836e+18,128.17261437951336,1661.2549376766135,-2486.3162392719737,100.15767181519513,601.112788318562,-2.0943629183604792e+18,-15.371926677921453,-199.23670293317798,298.1874959267668,-0.27683064003339614,-1.6614447491304511,5788711105642761.0
ASHBURN_031,,,17031,17,42050.0,42248.0,11.24365314982276,11.315067970372892,0.0009395257971352323,0.0009676385373308448,0.014282964110026341,-0.005984298441835751,0.000554409576704847,0.0032194350161916956,0.000554409576704984,0.013496334673403278,0.006213603407863202,-4.887645399177013e-05,-0.0009589515381101558,0.0006032860306966172,0.014455286211513431,0.00070469184569452,-0.00010140581499790301,0.017477772320789203,-0.0030224861092757664,-0.00015028226898967316,-0.003981437647385922,4.468717811756908,5.716717401417927,81.44648543310515,82.42259427407532,14.084796755137935,11.860688324506746,-29.50014017681402,-73.91694560709722,110.62775378554481,-27.106723134705057,-1.3286205797657609,4629104103101120.0,-7.1052738489059974,-17.80331000006238,26.645313589168662,-8.81594691820965,-0.4321086118542867,1505528198631893.2,107.10527384890598,268.3680366897108,-401.65286651087973,108.81594691820966,5.333551597652567,-1.8582856506067268e+16,129.50014017681403,324.4816722967457,-485.635306707256,127.106723134705,6.2300635655640395,-2.170643241053649e+16,-22.394866327908026,-56.11363560703485,83.98244019637616,-18.290776216495406,-0.896511967911474,3123575904469226.5
