GEOID,community
17093890301,Oswego
17093890600,Yorkville
17093890302,Oswego
17093890102,Oswego
17093890500,Yorkville
17093890201,Montgomery
17093890400,Yorkville
17093890202,Montgomery
17093890101,Oswego
17093890700,Plainfield
17097864516,Buffalo Grove
17097865600,Highland Park
17097865802,Highland Park
17097863201,North Chicago
17097862800,North Chicago
17097860500,Zion
17097864517,Long Grove
17097861303,Round Lake Heights
17097862501,NA
17097863005,North Chicago
17097861701,Beach Park
17097860400,Beach Park
17097865502,Highland Park
17097862700,North Chicago
17097863604,NA
17097864520,Buffalo Grove
17097861301,Round Lake Heights
17097864904,Deerfield
17097863004,North Chicago
17097864901,Deerfield
17097863006,North Chicago
17097860302,Zion
17097861902,Gurnee
17097862902,North Chicago
17097864510,Mundelein
17097862605,Park City
17097861304,Round Lake
17097862502,North Chicago
17097863003,North Chicago
17097861702,NA
17097865700,Highland Park
17097864001,Mundelein
17097864522,Lincolnshire
17097861105,Grayslake
17097861804,NA
17097866100,NA
17097865801,Highland Park
17097865300,Highland Park
17097860805,Fox Lake
17097860809,Antioch
17097864308,Barrington
17097865400,Highland Park
17097864204,Wauconda
17097861108,Grayslake
17097860301,Zion
17097862000,NA
17097864512,Long Grove
17097861607,Grayslake
17097861202,Grayslake
17097861011,Lake Villa
17097864521,Lincolnshire
17097862901,North Chicago
17097863202,Lake Bluff
17097864513,Vernon Hills
17097861604,Old Mill Creek
17097864205,Wauconda
17097861610,Gurnee
17097864107,Mundelein
17097864408,Lake Zurich
17097864801,Bannockburn
17097860904,Lakemoor
17097861402,Round Lake
17097861010,Lake Villa
17097864412,Deer Park
17097864515,Long Grove
17097863904,Vernon Hills
17097860808,Fox Lake
17097864511,Long Grove
17097864306,Lake Barrington
17097862100,NA
17097863903,Vernon Hills
17097864002,Mundelein
17097864101,Grayslake
17097861609,Gurnee
17097860104,Winthrop Harbor
17097860200,Zion
17097860810,Antioch
17097860905,Fox Lake
17097864206,Wauconda
17097864303,Lake Barrington
17097862300,North Chicago
17097864403,Long Grove
17097861611,Gurnee
17097864402,Hawthorn Woods
17097864410,Lake Zurich
17097864505,Riverwoods
17097863801,Mettawa
17097861106,Grayslake
17097864203,Island Lake
17097860600,Beach Park
17097865200,Highwood
17097861509,Gurnee
17097861508,Gurnee
17097864602,Lake Forest
17097865000,Lake Forest
17097862200,NA
17097863701,Green Oaks
17097860101,Zion
17097861009,Lindenhurst
17097861014,Lindenhurst
17097864601,Lake Forest
17097863400,Lake Forest
17097862401,NA
17097862402,NA
17097862603,Gurnee
17097864407,Hawthorn Woods
17097861603,Gurnee
17097861803,Beach Park
17097863300,Lake Bluff
17097864519,Buffalo Grove
17097861007,Lindenhurst
17097864700,Highland Park
17097866200,Mettawa
17097861013,Lake Villa
