B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
242.0,119.0,107.0,13.0,18.0,39.0,0.0,18.0,36.0,0.0,97.0,14.0,11.0,0.0,0.0,44.0,758.0,17,031,836400,1,170318364001
88.0,15.0,0.0,43.0,33.0,0.0,10.0,55.0,25.0,50.0,99.0,17.0,38.0,0.0,0.0,0.0,473.0,17,031,836500,2,170318365002
592.0,145.0,150.0,41.0,147.0,89.0,145.0,75.0,91.0,62.0,0.0,50.0,19.0,7.0,0.0,0.0,1613.0,17,031,360200,1,170313602001
271.0,268.0,217.0,138.0,53.0,110.0,144.0,50.0,0.0,0.0,101.0,53.0,50.0,0.0,48.0,16.0,1519.0,17,031,470100,2,170314701002
30.0,75.0,271.0,18.0,21.0,132.0,0.0,0.0,0.0,323.0,33.0,63.0,90.0,0.0,30.0,0.0,1086.0,17,031,470100,1,170314701001
498.0,111.0,34.0,0.0,0.0,48.0,94.0,204.0,0.0,55.0,104.0,24.0,29.0,0.0,165.0,51.0,1417.0,17,031,836400,2,170318364002
184.0,220.0,113.0,187.0,146.0,80.0,104.0,11.0,38.0,8.0,60.0,5.0,0.0,8.0,0.0,0.0,1164.0,17,031,836500,1,170318365001
50.0,184.0,59.0,33.0,27.0,0.0,29.0,16.0,6.0,78.0,55.0,50.0,101.0,95.0,40.0,192.0,1015.0,17,031,836400,3,170318364003
