B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
519.0,112.0,159.0,42.0,103.0,96.0,0.0,110.0,87.0,114.0,225.0,117.0,31.0,27.0,81.0,24.0,1847.0,17,031,836400,1,170318364001
25.0,95.0,59.0,46.0,123.0,56.0,15.0,25.0,0.0,25.0,20.0,105.0,228.0,43.0,0.0,33.0,898.0,17,031,836500,2,170318365002
235.0,111.0,56.0,191.0,67.0,138.0,180.0,63.0,90.0,56.0,136.0,63.0,0.0,60.0,10.0,18.0,1474.0,17,031,360200,1,170313602001
124.0,249.0,49.0,36.0,21.0,59.0,59.0,0.0,82.0,0.0,57.0,65.0,26.0,15.0,0.0,0.0,842.0,17,031,470100,2,170314701002
222.0,17.0,0.0,44.0,51.0,111.0,19.0,66.0,0.0,97.0,0.0,186.0,95.0,0.0,115.0,0.0,1023.0,17,031,836400,3,170318364003
143.0,33.0,161.0,109.0,67.0,28.0,104.0,54.0,49.0,36.0,33.0,130.0,195.0,0.0,13.0,0.0,1155.0,17,031,470100,1,170314701001
210.0,182.0,187.0,17.0,19.0,10.0,0.0,0.0,0.0,82.0,29.0,0.0,56.0,28.0,38.0,40.0,898.0,17,031,836400,2,170318364002
82.0,93.0,138.0,0.0,76.0,5.0,93.0,0.0,121.0,314.0,133.0,0.0,0.0,0.0,0.0,0.0,1055.0,17,031,836500,1,170318365001
