B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
145.0,72.0,166.0,109.0,174.0,77.0,75.0,171.0,86.0,293.0,309.0,338.0,356.0,211.0,87.0,230.0,2899.0,17,097,860400,1,170978604001
242.0,25.0,42.0,22.0,154.0,43.0,22.0,45.0,9.0,269.0,48.0,146.0,81.0,29.0,31.0,36.0,1244.0,17,097,860400,2,170978604002
62.0,21.0,31.0,26.0,21.0,75.0,21.0,40.0,15.0,115.0,193.0,355.0,96.0,129.0,50.0,65.0,1315.0,17,097,860400,3,170978604003
84.0,87.0,37.0,48.0,15.0,131.0,15.0,92.0,70.0,50.0,60.0,91.0,49.0,16.0,43.0,23.0,911.0,17,097,860500,1,170978605001
176.0,93.0,31.0,48.0,45.0,131.0,16.0,14.0,41.0,169.0,111.0,130.0,72.0,72.0,42.0,40.0,1231.0,17,097,860500,2,170978605002
91.0,55.0,13.0,39.0,32.0,34.0,10.0,38.0,12.0,21.0,70.0,230.0,19.0,51.0,17.0,13.0,745.0,17,097,860500,3,170978605003
28.0,10.0,27.0,21.0,68.0,61.0,9.0,64.0,9.0,63.0,83.0,44.0,47.0,8.0,15.0,17.0,574.0,17,097,860500,4,170978605004
165.0,30.0,50.0,168.0,18.0,28.0,133.0,19.0,11.0,133.0,56.0,76.0,33.0,25.0,40.0,28.0,1013.0,17,097,860500,5,170978605005
57.0,48.0,78.0,75.0,94.0,91.0,143.0,53.0,39.0,121.0,293.0,370.0,109.0,106.0,106.0,91.0,1874.0,17,097,860600,1,170978606001
47.0,20.0,20.0,29.0,19.0,15.0,24.0,22.0,38.0,96.0,166.0,281.0,230.0,84.0,180.0,111.0,1382.0,17,097,860600,2,170978606002
173.0,72.0,217.0,72.0,63.0,17.0,43.0,42.0,19.0,82.0,71.0,79.0,62.0,26.0,81.0,40.0,1159.0,17,097,860600,3,170978606003
102.0,47.0,84.0,43.0,189.0,233.0,40.0,206.0,263.0,79.0,161.0,672.0,256.0,128.0,170.0,117.0,2790.0,17,097,860600,4,170978606004
27.0,45.0,30.0,22.0,17.0,52.0,42.0,69.0,51.0,72.0,97.0,131.0,45.0,48.0,38.0,32.0,818.0,17,097,860805,1,170978608051
47.0,20.0,11.0,11.0,17.0,38.0,52.0,24.0,39.0,43.0,73.0,110.0,90.0,22.0,42.0,30.0,669.0,17,097,860805,2,170978608052
147.0,153.0,184.0,116.0,94.0,140.0,83.0,74.0,84.0,262.0,203.0,429.0,211.0,213.0,179.0,154.0,2726.0,17,097,860806,1,170978608061
70.0,115.0,52.0,49.0,92.0,62.0,106.0,126.0,65.0,234.0,300.0,292.0,338.0,385.0,130.0,92.0,2508.0,17,097,860806,2,170978608062
101.0,128.0,110.0,149.0,104.0,74.0,102.0,75.0,81.0,238.0,131.0,338.0,211.0,144.0,134.0,78.0,2198.0,17,097,860807,1,170978608071
96.0,35.0,130.0,62.0,25.0,88.0,49.0,42.0,63.0,48.0,182.0,224.0,92.0,66.0,43.0,45.0,1290.0,17,097,860807,2,170978608072
133.0,32.0,67.0,43.0,128.0,66.0,97.0,83.0,37.0,166.0,199.0,331.0,272.0,63.0,84.0,112.0,1913.0,17,097,860808,1,170978608081
42.0,48.0,42.0,14.0,20.0,11.0,25.0,33.0,15.0,49.0,125.0,110.0,53.0,52.0,47.0,25.0,711.0,17,097,860808,2,170978608082
77.0,31.0,48.0,26.0,47.0,89.0,85.0,30.0,32.0,100.0,101.0,225.0,151.0,82.0,376.0,90.0,1590.0,17,097,860809,1,170978608091
69.0,40.0,49.0,116.0,42.0,30.0,56.0,26.0,40.0,64.0,210.0,363.0,138.0,145.0,150.0,102.0,1640.0,17,097,860809,2,170978608092
557.0,66.0,132.0,134.0,96.0,112.0,159.0,155.0,178.0,182.0,258.0,664.0,417.0,415.0,429.0,220.0,4174.0,17,097,860810,1,170978608101
88.0,47.0,34.0,146.0,43.0,17.0,144.0,35.0,20.0,88.0,197.0,194.0,204.0,66.0,206.0,64.0,1593.0,17,097,860810,2,170978608102
133.0,29.0,39.0,34.0,133.0,103.0,30.0,20.0,62.0,175.0,215.0,182.0,142.0,87.0,93.0,31.0,1508.0,17,097,860810,3,170978608103
72.0,54.0,54.0,24.0,79.0,23.0,116.0,20.0,24.0,87.0,71.0,196.0,80.0,108.0,78.0,83.0,1169.0,17,097,860811,1,170978608111
107.0,60.0,125.0,59.0,79.0,81.0,137.0,104.0,57.0,258.0,198.0,434.0,495.0,283.0,313.0,215.0,3005.0,17,097,860811,2,170978608112
118.0,180.0,132.0,78.0,74.0,112.0,163.0,76.0,75.0,173.0,181.0,373.0,145.0,62.0,70.0,75.0,2087.0,17,097,860903,1,170978609031
109.0,173.0,96.0,89.0,41.0,98.0,90.0,66.0,35.0,52.0,82.0,89.0,45.0,70.0,33.0,28.0,1196.0,17,097,860903,2,170978609032
217.0,69.0,49.0,104.0,25.0,165.0,52.0,30.0,125.0,161.0,189.0,203.0,103.0,87.0,35.0,60.0,1674.0,17,097,860903,3,170978609033
31.0,17.0,18.0,59.0,55.0,63.0,36.0,135.0,30.0,128.0,115.0,132.0,43.0,36.0,64.0,15.0,977.0,17,097,860903,4,170978609034
151.0,26.0,75.0,19.0,37.0,65.0,114.0,52.0,66.0,189.0,206.0,262.0,112.0,104.0,147.0,98.0,1723.0,17,097,860904,1,170978609041
181.0,141.0,86.0,129.0,149.0,236.0,150.0,145.0,88.0,283.0,597.0,612.0,313.0,266.0,331.0,177.0,3884.0,17,097,860904,2,170978609042
