B19001_002E,B19001_005E,B19001_007E,B19001_009E,B19001_011E,B19001_012E,B19001_014E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
592.0,41.0,89.0,75.0,62.0,0.0,19.0,0.0,878.0,17,031,360200,1,170313602001
30.0,18.0,132.0,0.0,323.0,33.0,90.0,0.0,626.0,17,031,470100,1,170314701001
271.0,138.0,110.0,50.0,0.0,101.0,50.0,16.0,736.0,17,031,470100,2,170314701002
242.0,13.0,39.0,18.0,0.0,97.0,11.0,44.0,464.0,17,031,836400,1,170318364001
498.0,0.0,48.0,204.0,55.0,104.0,29.0,51.0,989.0,17,031,836400,2,170318364002
50.0,33.0,0.0,16.0,78.0,55.0,101.0,192.0,525.0,17,031,836400,3,170318364003
184.0,187.0,80.0,11.0,8.0,60.0,0.0,0.0,530.0,17,031,836500,1,170318365001
88.0,43.0,0.0,55.0,50.0,99.0,38.0,0.0,373.0,17,031,836500,2,170318365002
