B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
35.0,30.0,55.0,29.0,20.0,165.0,33.0,57.0,55.0,102.0,222.0,239.0,222.0,474.0,39.0,38.0,1815.0,17,043,846310,2,170438463102
20.0,21.0,71.0,91.0,16.0,50.0,51.0,18.0,7.0,105.0,149.0,93.0,92.0,127.0,44.0,135.0,1090.0,17,043,846311,1,170438463111
56.0,36.0,29.0,22.0,49.0,16.0,22.0,107.0,117.0,206.0,178.0,185.0,228.0,120.0,120.0,89.0,1580.0,17,043,846311,2,170438463112
53.0,15.0,88.0,105.0,53.0,85.0,64.0,20.0,96.0,200.0,146.0,202.0,108.0,234.0,73.0,104.0,1646.0,17,043,846311,3,170438463113
54.0,19.0,9.0,14.0,22.0,17.0,14.0,11.0,62.0,21.0,139.0,100.0,161.0,164.0,117.0,132.0,1056.0,17,043,846311,4,170438463114
149.0,65.0,38.0,41.0,110.0,171.0,74.0,90.0,25.0,194.0,261.0,244.0,123.0,69.0,29.0,43.0,1726.0,17,043,846312,1,170438463121
98.0,53.0,54.0,40.0,56.0,30.0,138.0,99.0,19.0,146.0,99.0,247.0,150.0,20.0,86.0,50.0,1385.0,17,043,846312,2,170438463122
65.0,77.0,14.0,51.0,81.0,18.0,77.0,89.0,44.0,90.0,93.0,185.0,83.0,84.0,106.0,97.0,1254.0,17,043,846312,3,170438463123
123.0,22.0,62.0,119.0,117.0,35.0,137.0,105.0,71.0,246.0,132.0,441.0,198.0,134.0,173.0,485.0,2600.0,17,043,846313,1,170438463131
19.0,8.0,23.0,62.0,12.0,16.0,12.0,11.0,16.0,19.0,94.0,104.0,42.0,67.0,244.0,126.0,875.0,17,043,846313,2,170438463132
62.0,10.0,13.0,64.0,19.0,53.0,9.0,19.0,92.0,27.0,61.0,208.0,145.0,106.0,108.0,80.0,1076.0,17,043,846313,3,170438463133
65.0,125.0,61.0,41.0,75.0,100.0,42.0,43.0,62.0,111.0,162.0,329.0,363.0,220.0,248.0,178.0,2225.0,17,043,846314,1,170438463141
43.0,18.0,17.0,10.0,22.0,19.0,47.0,94.0,27.0,94.0,166.0,118.0,133.0,188.0,82.0,157.0,1235.0,17,043,846314,2,170438463142
28.0,16.0,17.0,14.0,23.0,29.0,77.0,72.0,36.0,46.0,66.0,224.0,217.0,157.0,99.0,135.0,1256.0,17,043,846315,1,170438463151
28.0,11.0,9.0,15.0,29.0,71.0,99.0,15.0,10.0,80.0,33.0,127.0,160.0,68.0,201.0,104.0,1060.0,17,043,846315,2,170438463152
