B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
101.0,3.0,26.0,0.0,34.0,2.0,154.0,34.0,0.0,103.0,116.0,234.0,664.0,625.0,262.0,235.0,2593.0,17,111,871306,1,171118713061
1.0,4.0,0.0,5.0,4.0,1.0,0.0,29.0,24.0,97.0,202.0,380.0,423.0,193.0,269.0,204.0,1836.0,17,111,871306,2,171118713062
19.0,1.0,12.0,52.0,2.0,139.0,19.0,74.0,6.0,87.0,113.0,353.0,449.0,235.0,580.0,470.0,2611.0,17,111,871306,3,171118713063
38.0,22.0,0.0,119.0,112.0,63.0,78.0,114.0,70.0,33.0,374.0,142.0,8.0,7.0,97.0,97.0,1374.0,17,111,871306,4,171118713064
22.0,1.0,6.0,1.0,2.0,77.0,51.0,4.0,14.0,113.0,90.0,217.0,315.0,152.0,715.0,324.0,2104.0,17,111,871307,1,171118713071
2.0,7.0,30.0,13.0,0.0,7.0,9.0,11.0,3.0,35.0,55.0,112.0,69.0,7.0,170.0,38.0,568.0,17,111,871307,2,171118713072
4.0,94.0,105.0,211.0,124.0,247.0,36.0,89.0,88.0,113.0,164.0,298.0,363.0,119.0,227.0,148.0,2430.0,17,111,871307,3,171118713073
5.0,2.0,18.0,3.0,120.0,2.0,4.0,5.0,56.0,141.0,140.0,102.0,219.0,297.0,135.0,148.0,1397.0,17,111,871310,1,171118713101
71.0,6.0,5.0,26.0,31.0,4.0,18.0,26.0,4.0,22.0,58.0,216.0,85.0,107.0,38.0,251.0,968.0,17,111,871310,2,171118713102
2.0,1.0,5.0,17.0,92.0,3.0,0.0,61.0,0.0,88.0,42.0,19.0,39.0,61.0,35.0,83.0,548.0,17,111,871310,3,171118713103
11.0,1.0,0.0,2.0,13.0,44.0,108.0,44.0,123.0,30.0,120.0,455.0,321.0,181.0,130.0,125.0,1708.0,17,111,871310,4,171118713104
6.0,0.0,78.0,0.0,49.0,4.0,130.0,136.0,58.0,312.0,156.0,474.0,519.0,215.0,58.0,125.0,2320.0,17,111,871311,1,171118713111
34.0,1.0,1.0,162.0,47.0,64.0,3.0,38.0,0.0,105.0,169.0,189.0,43.0,32.0,131.0,191.0,1210.0,17,111,871311,2,171118713112
7.0,3.0,0.0,4.0,1.0,8.0,16.0,80.0,2.0,97.0,81.0,185.0,303.0,115.0,47.0,102.0,1051.0,17,111,871311,3,171118713113
131.0,30.0,107.0,0.0,27.0,3.0,78.0,116.0,81.0,136.0,56.0,402.0,153.0,179.0,175.0,179.0,1853.0,17,111,871402,1,171118714021
6.0,2.0,27.0,0.0,1.0,1.0,21.0,150.0,2.0,2.0,36.0,32.0,76.0,20.0,75.0,113.0,564.0,17,111,871402,2,171118714022
61.0,29.0,3.0,117.0,1.0,63.0,2.0,13.0,152.0,62.0,233.0,166.0,274.0,160.0,438.0,290.0,2064.0,17,111,871402,3,171118714023
12.0,0.0,3.0,2.0,44.0,2.0,32.0,90.0,4.0,62.0,119.0,0.0,51.0,42.0,33.0,301.0,797.0,17,111,871402,4,171118714024
71.0,0.0,13.0,24.0,14.0,0.0,16.0,67.0,43.0,93.0,171.0,12.0,199.0,269.0,79.0,64.0,1135.0,17,111,871402,5,171118714025
31.0,137.0,76.0,53.0,68.0,137.0,41.0,47.0,128.0,144.0,232.0,373.0,220.0,232.0,379.0,115.0,2413.0,17,111,871404,1,171118714041
6.0,38.0,28.0,14.0,15.0,101.0,28.0,110.0,87.0,214.0,158.0,265.0,402.0,337.0,270.0,192.0,2265.0,17,111,871404,2,171118714042
54.0,129.0,85.0,87.0,98.0,47.0,44.0,156.0,3.0,110.0,124.0,505.0,514.0,230.0,258.0,345.0,2789.0,17,111,871500,1,171118715001
25.0,1.0,2.0,4.0,33.0,31.0,11.0,2.0,4.0,65.0,34.0,145.0,94.0,31.0,36.0,57.0,575.0,17,111,871500,2,171118715002
94.0,228.0,124.0,150.0,184.0,428.0,275.0,141.0,383.0,425.0,720.0,797.0,288.0,447.0,298.0,190.0,5172.0,17,111,871500,3,171118715003
23.0,3.0,4.0,2.0,131.0,5.0,153.0,1.0,28.0,56.0,88.0,194.0,309.0,407.0,102.0,152.0,1658.0,17,111,871500,4,171118715004
31.0,44.0,16.0,2.0,2.0,31.0,32.0,177.0,3.0,211.0,27.0,191.0,141.0,64.0,187.0,54.0,1213.0,17,111,871500,5,171118715005
1.0,1.0,7.0,1.0,0.0,79.0,18.0,1.0,14.0,1.0,35.0,155.0,119.0,10.0,202.0,300.0,944.0,17,111,871600,1,171118716001
26.0,5.0,49.0,0.0,3.0,8.0,37.0,89.0,9.0,1.0,60.0,107.0,220.0,115.0,122.0,167.0,1018.0,17,111,871600,2,171118716002
1.0,1.0,38.0,128.0,0.0,2.0,3.0,22.0,43.0,32.0,77.0,111.0,52.0,107.0,229.0,161.0,1007.0,17,111,871600,3,171118716003
45.0,0.0,3.0,13.0,37.0,18.0,13.0,39.0,14.0,64.0,124.0,145.0,243.0,58.0,103.0,179.0,1098.0,17,111,871600,4,171118716004
4.0,1.0,7.0,8.0,6.0,3.0,39.0,7.0,16.0,70.0,107.0,93.0,137.0,115.0,305.0,78.0,996.0,17,111,871600,5,171118716005
22.0,9.0,1.0,0.0,47.0,106.0,6.0,147.0,3.0,178.0,245.0,974.0,321.0,204.0,304.0,39.0,2606.0,17,197,880105,1,171978801051
1.0,207.0,0.0,24.0,2.0,139.0,99.0,157.0,244.0,99.0,115.0,302.0,315.0,264.0,28.0,99.0,2095.0,17,197,880105,2,171978801052
